Date,Time (roughly) (HH:MM),Friday tickets Sold,Sat tickets Sold,Friday Adult tickets,Sat Adult Tickets,"Payment Method (cash, card, venmo, online)",Total Tix
3/13/17,12:45,1,0,0,0,venmo,1
3/13/17,12:45,0,1,0,0,venmo,1
3/13/17,12:50,0,2,0,0,venmo,2
3/13/17,13:00,0,2,0,0,venmo,2
3/13/17,14:05,4,0,0,0,venmo,4
3/13/17,12:29,1,0,0,3,online,4
3/13/17,19:49,0,2,0,0,online,2
3/13/17,12:49,2,0,0,0,online,2
3/13/17,12:29,1,1,0,0,online,2
3/13/17,13:45,0,1,0,0,venmo,1
3/13/17,13:50,0,1,0,0,venmo,1
3/13/17,14:00,0,1,0,0,venmo,1
3/14/17,14:10,1,0,0,0,cash,1
3/14/17,14:43,0,2,0,0,venmo,2
3/14/17,5:32,0,0,3,7,online,10
3/14/17,8:09,0,1,0,0,online,1
3/14/17,12:30,0,2,0,0,cash,2
3/15/17,23:54,0,2,0,0,cash,2
3/15/17,12:18,1,0,0,0,cash,1
3/15/17,12:20,0,2,0,0,cash,2
3/15/17,13:07,0,2,0,0,venmo,2
3/15/17,13:29,0,2,0,0,venmo,2
3/15/17,13:59,0,2,0,0,venmo,2
3/15/17,14:03,1,0,0,0,venmo,1
3/15/17,14:16,0,1,0,0,venmo,1
3/15/17,14:36,0,1,0,0,venmo,1
3/15/17,14:36,0,1,0,0,venmo,1
3/15/17,14:53,1,0,0,0,cash,1
3/15/17,21:00,3,0,0,0,online,3
3/15/17,21:00,0,1,0,0,online,1
3/15/17,21:00,0,0,6,0,online,6
3/15/17,21:00,0,1,0,0,online,1
3/15/17,21:00,0,1,0,0,online,1
3/15/17,21:00,0,2,0,0,venmo,2
3/16/17,21:00,1,0,0,0,online,1
3/16/17,11:45,0,1,0,0,venmo,1
3/16/17,23:56,0,1,0,0,cash,1
3/16/17,12:03,0,3,0,0,cash,3
3/16/17,12:37,0,1,0,0,cash,1
3/16/17,12:37,1,0,0,0,cash,1
3/16/17,12:37,0,1,0,0,cash,1
3/16/17,13:30,2,0,0,0,card,2
3/16/17,13:30,0,1,0,0,cash,1
3/16/17,13:30,0,1,0,0,venmo,1
3/16/17,13:38,3,0,0,0,card,3
3/16/17,13:38,3,0,0,0,cash,3
3/16/17,13:50,0,1,0,0,venmo,1
3/16/17,13:50,0,1,0,0,cash,1
3/16/17,14:00,1,0,0,0,venmo,1
3/16/17,14:45,2,0,0,0,venmo,2
3/16/17,15:30,0,1,0,0,venmo,1
3/16/17,16:04,0,1,0,0,cash,1
3/16/17,16:04,0,1,0,0,cash,1
3/16/17,16:38,1,0,0,0,venmo,1
3/16/17,21:00,0,1,0,0,online,1
3/16/17,21:00,1,0,3,0,online,4
3/16/17,21:00,1,0,0,0,online,1
3/16/17,21:00,0,1,0,0,venmo,1
3/16/17,21:00,3,0,0,0,online,3
3/16/17,11:11,1,0,0,1,online,2
3/16/17,11:11,0,1,0,0,online,1
3/16/17,22:23,1,0,0,0,venmo,1
3/16/17,,0,2,0,0,online,2
3/16/17,,1,0,0,0,online,1
3/16/17,,0,1,0,0,venmo,1
3/17/17,,0,0,0,1,online,1
3/17/17,,2,0,0,0,venmo,2
3/17/17,12:12,0,2,0,0,venmo,2
3/17/17,12:12,1,0,0,0,venmo,1
3/17/17,12:37,0,1,0,0,venmo,1
3/17/17,12:55,0,1,0,0,cash,1
3/17/17,13:00,0,1,0,0,venmo,1
3/17/17,13:09,0,1,0,0,cash,1
3/17/17,13:22,0,1,0,0,,1
3/17/17,,0,0,2,0,online,2
3/17/17,,0,2,0,0,online,2
3/17/17,,0,0,0,3,online,3
3/17/17,,0,1,0,0,online,1
3/17/17,,2,0,0,0,venmo,2
3/17/17,,3,0,0,0,venmo,3
3/17/17,,1,0,0,0,venmo,1
3/17/17,,0,3,0,0,venmo,3
3/17/17,,0,2,0,0,online,2
3/17/17,,1,0,0,0,online,1
3/17/17,,0,1,0,0,online,1
3/17/17,,0,1,0,0,venmo,1
3/17/17,,0,0,1,0,online,1
3/17/17,,2,0,8,0,online,10
3/17/17,,0,2,0,0,online,2
3/17/17,,1,0,0,0,door,1
3/17/17,,0,0,1,0,door,1
3/17/17,,3,0,0,0,door,3
3/17/17,,5,0,0,0,door,5
3/17/17,,1,0,0,0,door,1
3/17/17,,1,0,0,0,door,1
3/17/17,,1,0,0,0,door,1
3/17/17,,1,0,0,0,door,1
3/17/17,,0,0,1,0,door,1
3/17/17,,1,0,1,0,door,2
3/17/17,,1,0,0,0,door,1
3/17/17,,2,0,0,0,door,2
3/17/17,,1,0,0,0,door,1
3/17/17,,1,0,0,0,door,1
3/17/17,,1,0,0,0,door,1
3/17/17,,1,0,0,0,door,1
3/17/17,,1,0,0,0,door,1
3/17/17,,1,0,0,0,door,1
3/17/17,,1,0,0,0,door,1
3/17/17,,4,0,0,0,door,4
3/17/17,,1,0,0,0,door,1
3/17/17,,1,0,0,0,door,1
3/17/17,,3,0,0,0,door,3
3/17/17,,3,0,0,0,door,3
3/17/17,,2,0,0,0,door,2
3/17/17,,1,0,0,0,door,1
3/17/17,,1,0,0,0,door,1
3/17/17,,1,0,0,0,door,1
3/17/17,,1,0,0,0,door,1
3/17/17,,1,0,0,0,door,1
3/17/17,,1,0,0,0,door,1
3/17/17,,1,0,0,0,door,1
3/17/17,,5,0,0,0,door,5
3/17/17,,1,0,0,0,door,1
3/18/17,,0,3,0,0,online,3
3/18/17,,0,1,0,0,online,1
3/18/17,,0,11,0,0,online,11
3/18/17,,0,3,0,0,door,3
3/18/17,,0,2,0,0,door,2
