Date,Time (roughly) (HH:MM),Friday tickets Sold,Sat tickets Sold,Friday Deal Tickets Sold,Friday Adult tickets,Sat Adult Tickets,"Payment Method (cash, card, venmo, online)",Total Tix
11/13/16,20:00,0,0,0,8,0,online,8
11/13/16,23:55,0,0,0,0,5,online,5
11/13/16,23:55,0,2,0,0,0,online,2
11/13/16,23:55,1,0,0,1,0,online,2
11/13/16,23:55,1,0,0,0,0,online,1
11/14/16,11:01,0,0,3,0,0,venmo,3
11/14/16,11:02,0,0,3,0,0,venmo,3
11/14/16,11:36,0,1,0,0,0,cash,1
11/14/16,11:46,1,0,3,0,0,card,4
11/14/16,11:50,0,0,3,0,0,venmo,3
11/14/16,11:56,0,1,0,0,0,venmo,1
11/14/16,12:06,0,1,0,0,0,card,1
11/14/16,12:06,0,1,0,0,0,venmo,1
11/14/16,12:21,0,2,0,0,0,venmo,2
11/14/16,12:58,0,1,0,0,0,venmo,1
11/14/16,15:43,0,1,0,0,0,online,1
11/14/16,16:05,0,3,0,0,0,venmo,3
11/14/16,23:43,1,0,0,0,0,online,1
11/14/16,23:43,2,0,0,0,0,online,2
11/15/16,11:15,0,0,6,0,0,card,6
11/15/16,12:00,2,0,0,0,0,venmo,2
11/15/16,12:14,0,1,0,0,0,cash,1
11/15/16,12:44,0,0,3,0,0,venmo,3
11/15/16,13:01,0,0,3,0,0,card,3
11/15/16,13:50,2,0,0,0,0,card,2
11/15/16,15:31,1,0,0,0,0,online,1
11/15/16,23:25,0,1,0,0,0,online,1
11/15/16,23:25,1,0,0,1,0,online,2
11/15/16,23:25,0,0,0,0,1,online,1
11/16/16,11:46,0,0,3,0,0,cash,3
11/16/16,11:53,0,0,0,0,1,venmo,1
11/16/16,12:02,1,0,0,0,0,card,1
11/16/16,12:42,0,0,3,0,0,venmo,3
11/16/16,13:17,0,0,3,0,0,venmo,3
11/16/16,13:30,0,0,3,0,0,venmo,3
11/16/16,13:45,0,0,3,0,0,venmo,3
11/16/16,17:50,0,2,0,0,0,door,2
11/17/16,4:20,1,0,0,0,0,online,1
11/17/16,4:20,0,0,0,3,2,online,5
11/17/16,4:20,1,0,0,0,0,online,1
11/17/16,4:20,0,2,0,0,0,online,2
11/17/16,4:20,0,1,0,0,0,online,1
11/17/16,4:20,0,2,0,0,0,online,2
11/17/16,11:00,0,0,3,0,0,venmo,3
11/17/16,11:00,0,1,0,0,0,card,1
11/17/16,11:44,0,1,0,0,0,venmo,1
11/17/16,11:45,0,2,0,0,0,venmo,2
11/17/16,12:08,0,0,3,0,0,cash,3
11/17/16,12:22,0,2,0,0,0,venmo,2
11/17/16,12:48,0,0,3,0,0,venmo,3
11/17/16,12:54,0,5,0,0,0,venmo,5
11/17/16,12:55,2,0,0,0,0,cash,2
11/17/16,1:12,0,4,0,0,0,cash,4
11/17/16,1:45,0,0,3,0,0,cash,3
11/17/16,1:50,0,0,3,0,0,cash,3
11/17/16,1:50,1,0,0,0,0,venmo,1
11/17/16,1:50,0,1,0,0,0,venmo,1
11/17/16,1:50,0,1,0,0,0,venmo,1
11/17/16,1:50,0,1,0,0,0,venmo,1
11/17/16,1:50,0,0,3,0,0,venmo,3
11/17/16,8:43,1,0,0,0,0,cash,1
11/17/16,8:43,0,0,3,0,0,cash,3
11/17/16,8:43,1,0,0,0,0,venmo,1
11/18/16,12:26,0,2,0,0,0,venmo,2
11/18/16,12:26,0,3,0,0,0,cash,3
11/18/16,12:26,1,0,0,0,0,venmo,1
11/18/16,12:56,0,0,0,0,2,online,2
11/18/16,12:56,0,2,0,0,0,online,2
11/18/16,9:52,0,3,0,0,0,venmo,3
11/18/16,10:05,0,2,0,0,0,venmo,2
11/18/16,10:15,0,0,3,0,0,venmo,3
11/18/16,10:58,1,0,0,0,0,cash,1
11/18/16,11:01,0,0,3,0,0,venmo,3
11/18/16,12:04,0,3,0,0,0,cash,3
11/18/16,12:06,0,1,0,0,0,cash,1
11/18/16,12:45,2,0,0,0,0,cash,2
11/18/16,1:02,0,1,0,0,0,venmo,1
11/18/16,1:12,1,0,0,0,0,venmo,1
11/18/16,3:00,0,0,3,0,0,venmo,3
11/18/16,3:41,0,1,0,0,3,online,4
11/18/16,3:41,0,1,0,0,0,online,1
11/18/16,3:41,1,0,0,0,0,online,1
11/18/16,3:41,1,0,0,0,0,online,1
11/18/16,3:41,0,1,0,0,0,online,1
11/18/16,3:41,1,0,0,0,0,online,1
11/18/16,3:41,0,1,0,0,0,online,1
11/18/16,3:41,1,0,0,0,0,online,1
11/18/16,3:41,0,1,0,0,0,online,1
11/18/16,4:09,0,0,4,0,0,venmo,4
11/18/16,4:10,0,3,0,0,0,venmo,3
11/18/16,5:17,0,0,0,0,1,online,1
11/18/16,19:30,0,0,0,1,0,door,1
11/18/16,19:30,2,0,0,0,0,door,2
11/18/16,19:30,1,0,0,2,0,door,3
11/18/16,19:30,1,0,0,0,0,door,1
11/18/16,19:30,1,0,0,0,0,door,1
11/18/16,19:30,1,0,0,0,0,door,1
11/18/16,19:30,1,0,0,0,0,door,1
11/18/16,19:30,1,0,0,0,0,door,1
11/18/16,19:30,1,0,0,0,0,door,1
11/18/16,19:30,0,0,0,2,0,door,2
11/18/16,19:30,0,0,0,2,0,door,2
11/18/16,19:30,1,0,0,0,0,door,1
11/18/16,19:30,0,0,0,1,0,door,1
11/18/16,19:30,1,0,0,0,0,door,1
11/18/16,19:30,1,0,0,0,0,door,1
11/18/16,19:30,0,0,0,1,0,door,1
11/18/16,19:30,0,0,0,1,0,door,1
11/18/16,19:30,1,0,0,0,0,door,1
11/19/16,11:03,0,1,0,0,0,online,1
11/19/16,19:30,0,1,0,0,0,door,1
11/19/16,19:30,0,1,0,0,0,door,1
11/19/16,19:30,0,0,0,0,2,door,2
11/19/16,19:30,0,1,0,0,0,door,1
11/19/16,19:30,0,1,0,0,0,door,1
11/19/16,19:30,0,1,0,0,0,door,1
11/19/16,19:30,0,1,0,0,0,door,1
11/19/16,19:30,0,1,0,0,0,door,1
11/19/16,19:30,0,1,0,0,0,door,1
11/19/16,19:30,0,1,0,0,0,door,1
11/19/16,19:30,0,1,0,0,0,door,1
11/19/16,19:30,0,1,0,0,0,door,1
11/19/16,19:30,0,1,0,0,0,door,1
11/19/16,19:30,0,1,0,0,0,door,1
11/19/16,19:30,0,1,0,0,0,door,1
11/19/16,19:30,0,1,0,0,0,door,1
11/19/16,19:30,0,1,0,0,0,door,1
11/19/16,19:30,0,1,0,0,0,door,1
11/19/16,19:30,0,1,0,0,1,door,2
11/19/16,19:30,0,1,0,0,0,door,1
11/19/16,19:30,0,1,0,0,1,door,2
11/19/16,19:30,0,0,0,0,1,door,1
11/19/16,19:30,0,1,0,0,0,door,1
11/19/16,19:30,0,1,0,0,0,door,1
11/19/16,19:30,0,1,0,0,0,door,1
